index,timestamp,links,rechts,code,,opmerkingen,,case,firstlettername,gender,age,experience
1,0:05:02,,Can we take a look at [the idea template] first?,,,,,none,Sh.,Male,23,0 to 1 year
2,0:05:07,,"[reads] Research social design idea, describe your view on the problem, describe the idea you developed, how does the design answer the design question.",,,,,none,Sh.,Male,23,0 to 1 year
3,0:05:25,,Oke we need to take a look at [the brief].,,,,,none,Sh.,Male,23,0 to 1 year
4,0:05:30,How to change the..,,,,,,none,Su.,Female,24,1 to 5 years
5,0:05:31,,school bullying.,,,,,none,Sh.,Male,23,0 to 1 year
6,0:05:33,Yeah change the behaviour of the bully,,,,,,none,Su.,Female,24,1 to 5 years
7,0:05:42,,This is a wicked problem..,,,,,none,Sh.,Male,23,0 to 1 year
8,0:05:48,,So shall we start by brainstorming..,,,,,none,Sh.,Male,23,0 to 1 year
9,0:05:54,Yeah on maybe the reason why they bully?,,,,,,none,Su.,Female,24,1 to 5 years
10,0:05:56,,"Yeah in what manners, like we can just map down whatever we now have in mind.",,,,,none,Sh.,Male,23,0 to 1 year
11,0:06:11,,So who is involved in this process? The bullying behaviour.,,,,,none,Sh.,Male,23,0 to 1 year
12,0:06:19,Maybe there is someone in charge..,,manipulation1,,,,none,Su.,Female,24,1 to 5 years
13,0:06:22,,What do you mean someone in charge?,,,,,none,Sh.,Male,23,0 to 1 year
14,0:06:35,I think there is someone like the boss in the group who is going to..,,,,,,none,Su.,Female,24,1 to 5 years
15,0:06:43,,"Ah you mean who started the bullying behaviour, right?",,,,,none,Sh.,Male,23,0 to 1 year
16,0:06:45,"Kind of, because I think there should be someone who should be in charge in the group.",,,,,,none,Su.,Female,24,1 to 5 years
17,0:06:53,The bullying group or something.,,,,,,none,Su.,Female,24,1 to 5 years
18,0:06:55,,"So that's how we define bullying as a collective behaviour, or individual behaviour right/",,,,,none,Sh.,Male,23,0 to 1 year
19,0:07:07,,So it could be divided [writes] 'collective behaviour' or 'individual behaviour',decomposition1,8,,,none,Sh.,Male,23,0 to 1 year
20,0:07:30,,I think it exists like both,,,,,none,Sh.,Male,23,0 to 1 year
21,0:07:33,Yes kind of..,,,,,,none,Su.,Female,24,1 to 5 years
22,0:07:37,,But what do you think about [collective behaviour] because you came up with this.,,,,,none,Sh.,Male,23,0 to 1 year
23,0:07:41,,So there will be a leader.,,,,,none,Sh.,Male,23,0 to 1 year
24,0:07:43,"Yes I think so, and also because like it's kind of the power in it.",,manipulation1,,,,none,Su.,Female,24,1 to 5 years
25,0:07:53,"Because there is many people, or many students supporting so he will feel much more confident or strong.",,,,,,none,Su.,Female,24,1 to 5 years
26,0:08:08,,So you got supports from the group.,,,,,none,Sh.,Male,23,0 to 1 year
27,0:08:30,,But why do they?,,,,,none,Sh.,Male,23,0 to 1 year
28,0:08:34,,[Collective and individual] is more like [writes] how.,,,,,none,Sh.,Male,23,0 to 1 year
29,0:08:36,,But what about the why?,,,,,none,Sh.,Male,23,0 to 1 year
30,0:08:40,No this is who I guess [instead of how],,,,,,none,Su.,Female,24,1 to 5 years
31,0:08:47,,No I think more in the form..,,,,,none,Sh.,Male,23,0 to 1 year
32,0:08:52,"Or maybe just brainstorm on, whatever.",,,,,,none,Su.,Female,24,1 to 5 years
33,0:08:57,,"And then you also have 'where', 'how', so let's first just break down the bullying behaviour.",,,,,none,Sh.,Male,23,0 to 1 year
34,0:09:10,So 'where' is the school.,,,,,,none,Su.,Female,24,1 to 5 years
35,0:09:15,,So I think it mainly happens after school.,,,,,none,Sh.,Male,23,0 to 1 year
36,0:09:17,Maybe yes,,,,,,none,Su.,Female,24,1 to 5 years
37,0:09:19,,Like around the campus.,,,,,none,Sh.,Male,23,0 to 1 year
38,0:09:27,"And why I think this is important, why they do that.",,,,,,none,Su.,Female,24,1 to 5 years
39,0:09:41,"I think they like a got a sense of achievement, like they feel in control",,regression1,,,,none,Su.,Female,24,1 to 5 years
40,0:09:51,,Feel empowered.,,,,,none,Sh.,Male,23,0 to 1 year
